Screenshot Name,Mouse X1,Mouse Y1,Mouse X2,Mouse Y2,Probability,Status
input_harstem_1_frame_0044.jpg,1748,150,1770,169,0.7117160558700562,Not Correct
input_harstem_1_frame_0045.jpg,1748,150,1770,169,0.7104194760322571,Not Correct
input_harstem_1_frame_0046.jpg,1748,150,1770,169,0.7104194760322571,Not Correct
input_harstem_1_frame_0047.jpg,1748,150,1770,169,0.7117160558700562,Not Correct
input_harstem_1_frame_0048.jpg,1748,150,1770,169,0.7111933827400208,Not Correct
input_harstem_1_frame_0049.jpg,1748,150,1770,169,0.7111933827400208,Not Correct
input_harstem_1_frame_0050.jpg,1748,150,1770,169,0.7117160558700562,Not Correct
input_harstem_1_frame_0051.jpg,1748,150,1770,169,0.7111933827400208,Not Correct
input_harstem_1_frame_0052.jpg,1748,150,1770,169,0.7111933827400208,Not Correct
input_harstem_1_frame_0053.jpg,1748,150,1770,169,0.7117160558700562,Not Correct
input_harstem_1_frame_0054.jpg,1748,150,1770,169,0.7092480659484863,Not Correct
input_harstem_1_frame_0055.jpg,1748,150,1770,169,0.7092480659484863,Not Correct
input_harstem_1_frame_0056.jpg,1748,150,1770,169,0.7117160558700562,Not Correct
input_harstem_1_frame_0057.jpg,1748,150,1770,169,0.7092480659484863,Not Correct
input_harstem_1_frame_0058.jpg,1748,150,1770,169,0.7092480659484863,Not Correct
input_harstem_1_frame_0059.jpg,1134,536,1143,566,0.8807224035263062,Correct
input_harstem_1_frame_0060.jpg,1048,553,1058,583,0.8590672612190247,Correct
input_harstem_1_frame_0061.jpg,992,578,1001,608,0.865138590335846,Correct
input_harstem_1_frame_0062.jpg,890,613,900,643,0.8713333606719971,Correct
input_harstem_1_frame_0063.jpg,806,655,816,685,0.8736625909805298,Correct
input_harstem_1_frame_0064.jpg,1748,150,1770,169,0.7111933827400208,Not Correct
input_harstem_1_frame_0065.jpg,1748,150,1770,169,0.7117160558700562,Not Correct
input_harstem_1_frame_0066.jpg,555,798,565,828,0.8498020768165588,Not Correct
input_harstem_1_frame_0067.jpg,509,832,518,862,0.7987950444221497,Not Correct
input_harstem_1_frame_0068.jpg,453,854,462,884,0.907393753528595,Correct
input_harstem_1_frame_0069.jpg,1748,150,1770,169,0.7092480659484863,Not Correct
input_harstem_1_frame_0070.jpg,1748,150,1770,169,0.709250807762146,Not Correct
input_harstem_1_frame_0071.jpg,1748,150,1770,169,0.7117133140563965,Not Correct
input_harstem_1_frame_0072.jpg,1748,151,1770,170,0.7167561054229736,Not Correct
input_harstem_1_frame_0073.jpg,1748,151,1770,170,0.7167574763298035,Not Correct
input_harstem_1_frame_0074.jpg,1748,151,1770,170,0.7177417874336243,Not Correct
input_harstem_1_frame_0075.jpg,1748,151,1770,170,0.7167532444000244,Not Correct
input_harstem_1_frame_0076.jpg,1748,151,1770,170,0.716754674911499,Not Correct
input_harstem_1_frame_0077.jpg,1748,151,1770,170,0.7177446484565735,Not Correct
input_harstem_1_frame_0078.jpg,1748,151,1770,170,0.716754674911499,Not Correct
input_harstem_1_frame_0079.jpg,1748,151,1770,170,0.716754674911499,Not Correct
input_harstem_1_frame_0080.jpg,1748,151,1770,170,0.7177432179450989,Not Correct
input_harstem_1_frame_0081.jpg,1748,151,1770,170,0.7167532444000244,Not Correct
input_harstem_1_frame_0082.jpg,1748,151,1770,170,0.7167561054229736,Not Correct
input_harstem_1_frame_0083.jpg,1748,151,1770,170,0.7177446484565735,Not Correct
input_harstem_1_frame_0084.jpg,1748,151,1770,170,0.716754674911499,Not Correct
input_harstem_1_frame_0085.jpg,1748,151,1770,170,0.7167561054229736,Not Correct
input_harstem_1_frame_0086.jpg,1748,151,1770,170,0.7177432179450989,Not Correct
input_harstem_1_frame_0087.jpg,1748,151,1770,170,0.716754674911499,Not Correct
input_harstem_1_frame_0088.jpg,1748,151,1770,170,0.7167561054229736,Not Correct
input_harstem_1_frame_0089.jpg,1748,151,1770,170,0.7177446484565735,Not Correct
input_harstem_1_frame_0090.jpg,1748,151,1770,170,0.716754674911499,Not Correct
input_harstem_1_frame_0091.jpg,1748,151,1770,170,0.716754674911499,Not Correct
input_harstem_1_frame_0092.jpg,1748,151,1770,170,0.7177446484565735,Not Correct
input_harstem_1_frame_0093.jpg,1748,151,1770,170,0.716754674911499,Not Correct
input_harstem_1_frame_0094.jpg,476,761,485,791,0.7958776354789734,Not Correct
input_harstem_1_frame_0095.jpg,537,729,547,759,0.8982516527175903,Not Correct
input_harstem_1_frame_0096.jpg,625,696,635,726,0.8649954199790955,Not Correct
input_harstem_1_frame_0097.jpg,1748,151,1770,170,0.7167532444000244,Not Correct
input_harstem_1_frame_0098.jpg,1748,151,1770,170,0.7177432179450989,Not Correct
input_harstem_1_frame_0099.jpg,1748,151,1770,170,0.7167532444000244,Not Correct
input_harstem_1_frame_0100.jpg,1045,525,1054,555,0.8314580917358398,Not Correct
input_harstem_1_frame_0101.jpg,1115,470,1125,500,0.8391863107681274,Correct
input_harstem_1_frame_0102.jpg,1748,151,1770,170,0.716754674911499,Not Correct
input_harstem_1_frame_0103.jpg,1748,151,1770,170,0.716754674911499,Not Correct
input_harstem_1_frame_0104.jpg,1294,319,1304,349,0.8313587307929993,Correct
input_harstem_1_frame_0105.jpg,1748,151,1770,170,0.716754674911499,Not Correct
input_harstem_1_frame_0106.jpg,1748,151,1770,170,0.716754674911499,Not Correct
input_harstem_1_frame_0107.jpg,1362,238,1390,266,0.758172869682312,Correct
input_harstem_1_frame_0108.jpg,1366,223,1396,253,0.7947680950164795,Correct
input_harstem_1_frame_0109.jpg,1370,216,1400,246,0.8051444292068481,Correct
input_harstem_1_frame_0110.jpg,1371,213,1401,243,0.8096038699150085,Correct
input_harstem_1_frame_0111.jpg,1748,151,1770,170,0.7167532444000244,Correct
input_harstem_1_frame_0112.jpg,1748,151,1770,170,0.7167532444000244,Not Correct
input_harstem_1_frame_0113.jpg,1748,151,1770,170,0.7177446484565735,Not Correct
input_harstem_1_frame_0114.jpg,1748,151,1770,170,0.7167532444000244,Not Correct
input_harstem_1_frame_0115.jpg,1748,151,1770,170,0.7167532444000244,Not Correct
input_harstem_1_frame_0116.jpg,1748,151,1770,170,0.7177446484565735,Not Correct
input_harstem_1_frame_0117.jpg,1748,151,1770,170,0.716754674911499,Not Correct
input_harstem_1_frame_0118.jpg,1748,151,1770,170,0.7167532444000244,Not Correct
input_harstem_1_frame_0119.jpg,1748,151,1770,170,0.7177446484565735,Not Correct
input_harstem_1_frame_0120.jpg,588,821,595,847,0.6928695440292358,Not Correct
input_harstem_1_frame_0121.jpg,588,821,595,847,0.691133975982666,Not Correct
input_harstem_1_frame_0122.jpg,588,821,595,847,0.691133975982666,Not Correct
input_harstem_1_frame_0123.jpg,588,821,595,847,0.6878311038017273,Not Correct
input_harstem_1_frame_0124.jpg,588,821,595,847,0.6884089112281799,Not Correct
input_harstem_1_frame_0125.jpg,1198,820,1220,839,0.6911269426345825,Not Correct
input_harstem_1_frame_0126.jpg,588,821,595,847,0.6889386177062988,Not Correct
input_harstem_1_frame_0127.jpg,1198,820,1220,839,0.6986790299415588,Not Correct
input_harstem_1_frame_0128.jpg,588,821,595,847,0.6892934441566467,Not Correct
input_harstem_1_frame_0129.jpg,588,821,595,847,0.6887555122375488,Not Correct
input_harstem_1_frame_0130.jpg,588,821,595,847,0.6887022852897644,Not Correct
input_harstem_1_frame_0131.jpg,588,821,595,847,0.6883254647254944,Not Correct
input_harstem_1_frame_0132.jpg,588,821,595,847,0.6882333159446716,Not Correct
input_harstem_1_frame_0133.jpg,588,821,595,847,0.6858235597610474,Not Correct
input_harstem_1_frame_0134.jpg,588,821,595,847,0.6857611536979675,Not Correct
input_harstem_1_frame_0135.jpg,588,821,595,847,0.6825060248374939,Not Correct
input_harstem_1_frame_0136.jpg,588,821,595,847,0.6825060248374939,Not Correct
input_harstem_1_frame_0137.jpg,588,821,595,847,0.6825060248374939,Not Correct
input_harstem_1_frame_0138.jpg,588,821,595,847,0.6825060248374939,Not Correct
input_harstem_1_frame_0139.jpg,588,821,595,847,0.679129958152771,Not Correct
input_harstem_1_frame_0140.jpg,588,821,595,847,0.6794573664665222,Not Correct
input_harstem_1_frame_0141.jpg,588,821,595,847,0.6797462701797485,Not Correct
input_harstem_1_frame_0142.jpg,1315,321,1324,351,0.9021619558334351,Not Correct
input_harstem_1_frame_0143.jpg,1288,325,1298,355,0.8499947190284729,Not Correct
input_harstem_1_frame_0144.jpg,1282,330,1292,360,0.8435757160186768,Correct
input_harstem_1_frame_0145.jpg,1273,336,1283,366,0.8731691837310791,Correct
input_harstem_1_frame_0146.jpg,1262,344,1272,374,0.8009663820266724,Correct
input_harstem_1_frame_0147.jpg,1248,354,1258,384,0.7902076840400696,Correct
input_harstem_1_frame_0148.jpg,1252,364,1261,394,0.8062798976898193,Correct
input_harstem_1_frame_0149.jpg,1235,375,1244,405,0.7690449953079224,Correct
input_harstem_1_frame_0150.jpg,1219,385,1228,415,0.807367205619812,Correct
input_harstem_1_frame_0151.jpg,1183,394,1193,424,0.7797302007675171,Correct
input_harstem_1_frame_0152.jpg,1192,403,1201,433,0.7365018725395203,Correct
input_harstem_1_frame_0153.jpg,1183,410,1192,440,0.8594084978103638,Correct
input_harstem_1_frame_0154.jpg,1175,416,1184,446,0.8678052425384521,Correct
input_harstem_1_frame_0155.jpg,1170,421,1179,451,0.8378331661224365,Correct
